"comune","provincia","denominazione","tipologia funzionale","denominazione ente","OBR","Sistema bibliotecario","indirizzo","frazione","cap","latitudine","longitudine","telefono","fax","email","url"
"Coreno Ausonio","Frosinone","Biblioteca Comunale","Pubblica","Comune di Coreno Ausonio","OBR","Sistema bibliotecario Valle dei santi","Piazza Umberto I",,"03040","41.3460225","13.7776809","+39 0776996024","+39 0776910121","biblioteca.roccia@libero.it",
"Frosinone","Frosinone","Biblioteca del Conservatorio statale di musica L. Refice","Specializzata","Conservatorio statale di musica L.Refice",,,"Viale Michelangelo",,"03100","41.7870715","13.2320483","+39 0775840060","+39 0775202143","biblioteca@conservatorio-frosinone.it","www.conservatorio-frosinone.it"
"Aprilia","Latina","Biblioteca comunale","Pubblica","Comune di Aprilia","OBR",,"Largo G. Marconi",,"04011","41.5948382","12.649406","+39 069271889","+39 0692727181","biblioaprilia@tin.it","http://web.tiscalinet.it/bibliocomaprilia"
"Bassiano","Latina","Biblioteca comunale Aldo Manuzio","Pubblica","Comune di Bassiano","OBR",,"Via Sezze",,"04010","41.5434924","13.0445442","+39 0773355226","+39 0773355013",,
"Campodimele","Latina","Biblioteca  comunale","Pubblica","Comune di Campodimele","OBR","Sistema bibliotecario Sud Pontino","Piazza del Municipio 4",,"04020","41.3898137","13.5302345","+39 0771598013","+39 0771598126","campodimele@bibliolazio.it","http://www.sudpontino.org"
"Castelforte","Latina","Biblioteca comunale Tommaso da Suio","Pubblica","Comune di Castelforte","OBR","Sistema bibliotecario Sud Pontino","Via Roma",,"04021","41.3003674","13.8227611","+39 0771607945","+39 0771609639","biblioteca@comune.castelforte.lt.it",
"Castelforte","Latina","Biblioteca Kennedy","Pubblica","Organizzazione giovanile Kennedy",,,"Via F. Filzi","Suio Alto","04020","41.301556","13.819572",,,,
"Cisterna di Latina","Latina","Biblioteca comunale","Pubblica","Comune di Cisterna di Latina","OBR",,"Piazza 19 marzo",,"04012","41.59167","12.8285624","+39 0696834330","+39 0696834305","g.deluca@comune.cisternadilatina.it",
"Cori","Latina","Biblioteca civica Elio Filippo Accrocca","Pubblica","Comune di Cori","OBR","Sistema bibliotecario dei Monti lepini","Vicolo Macari, 1",,"04010","41.6445071","12.9129985","+39 069661757","+39 0696610032","biblioteca@comune.cori.lt.it","http://www.comune.cori.lt.it/la_biblioteca.html"
"Fondi","Latina","Biblioteca comunale Dan Danino di Sarra","Pubblica","Comune di Fondi","OBR","Sistema bibliotecario Sud Pontino","Piazza D. Purificato",,"04022","41.3485879","13.4280586","+39 0771531338","+39 07715167915","biblio.fondi@libero.it",
"Formia","Latina","Biblioteca comunale tenente Filippo Testa","Importante non specializzata","Comune di Formia","OBR","Sistema bibliotecario Sud Pontino","Via Vitruvio 7",,"04023","41.2568295","13.6090752","+39 077121458","+39 077121458","biblioteca@comune.formia.lt.it","http://www.sudpontino.org"
"Gaeta","Latina","Biblioteca diocesana","Importante non specializzata","Diocesi di Gaeta",,,"Piazza Cardinale Tommaso De Vio, 9",,"04024","41.244724","13.5552603","+39 0771.4530237","+39 0771.4530221","beniculturali@arcidiocesigaeta.it",
"Latina","Latina","Biblioteca dell'Archivio di Stato di Latina","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Latina",,,"Via dei Piceni 24",,"04100","41.4587561","12.9288947","+39 0773610930","+39 0773610931",,
"Lenola","Latina","Biblioteca comunale","Pubblica","Comune di Lenola",,,"Corso Vittorio Emanuele 11",,"04025","41.4083751","13.4614691","+39 0771589616","+39 0771588181","comunelenola@interfree.it","http://www.sudpontino.org"
"Maenza","Latina","Biblioteca comunale","Pubblica","Comune di Maenza","OBR","Sistema bibliotecario dei Monti lepini","Piazza Leone XIII",,"04010","41.5228883","13.1806172","+39 0773951310","+39 0773951188",,
"Monte San Biagio","Latina","Biblioteca  comunale","Pubblica","Comune di Monte San Biagio","OBR","Sistema bibliotecario Sud Pontino","Corso Vittorio Emanuele",,"04020","41.3531284","13.3524042","+39 0771567379","+39 0771567379","bibmsb@sudpontino.org",
"Priverno","Latina","Biblioteca comunale","Pubblica","Comune di Priverno","OBR","Sistema bibliotecario dei Monti lepini","Via Consolare 45",,"04015","41.4743917","13.1800705","+39 0773903088","+39 0773905218","biblioteca@comune.priverno.latina.it",
"Roccagorga","Latina","Biblioteca comunale Domenico Menta","Pubblica","Comune di Roccagorga","OBR","Sistema bibliotecario dei Monti lepini","Piazza Risorgimento 4",,"04010","41.5248065","13.1564945","+39 0773958947","+39 0773958947","roccabiblioteca@libero.it",
"Roccasecca dei Volsci","Latina","Biblioteca comunale","Pubblica","Comune di Roccasecca dei Volsci","OBR","Sistema bibliotecario dei Monti lepini","Via Roma 33",,"04010","41.4790288","13.2123759","+39 0773920326","+39 0773920325","bibliotecademarchis@libero.it",
"Sabaudia","Latina","Biblioteca comunale Feliciano Iannella","Pubblica","Comune di Sabaudia","OBR",,"Piazza Verbania 15",,"04016","41.2988435","13.0304449","+39 0773514263","+39 0773515791","biblioteca.comunale@comune.sabaudia.latina.it","http://www.comune.sabaudia.latina.it/index.php/turismo-a-cultura/biblioteca-comunale"
"Santi Cosma e Damiano","Latina","Biblioteca comunale","Pubblica","Comune di Santi Cosma e Damiano","OBR",,"Largo Savoia, 1","Grunuovo","04020","41.2997808","13.8138715",,,,
"Sermoneta","Latina","Biblioteca comunale","Pubblica","Comune di Sermoneta","OBR",,"Via dell'Irto",,"04010","41.5482325","12.9636913","+39 0773319858","+39 0773319858","bibliotecasermoneta@yahoo.it","http://affarigenerali.altervista.org/biblioteca.html"
"Sezze","Latina","Biblioteca comunale Valerio Flacco","Pubblica","Comune di Sezze","OBR","Sistema bibliotecario dei Monti lepini","Piazza Margherita",,"04018","41.4979809","13.0587407","+39 0773887184","+39 0773887184",,
"Sonnino","Latina","Biblioteca comunale","Pubblica","Comune di Sonnino","OBR",,"Via Cesare Battisti 7",,"04010","41.4709072","13.1816776","+39 0773907832",,"urp@comune.sonnino.latina.it",
"Sperlonga","Latina","Biblioteca comunale","Pubblica","Comune di Sperlonga",,,"Via delle monache",,"04029","41.2589357","13.4368159",,,,
"Terracina","Latina","Biblioteca comunale Adriano Olivetti","Pubblica","Comune di Terracina","OBR",,"Via Olivetti 1",,"04019","41.2879166","13.2435181","+39 0773722066","+39 0773722066","biblioteca@comune.terracina.lt.it",
"Ventotene","Latina","Biblioteca comunale","Pubblica","Comune di Ventotene","OBR",,"Via Roma 2",,"04020","40.797263","13.4332968",,,,
"Latina","Latina","Biblioteca comunale Aldo Manuzio","Pubblica","Comune di Latina",,,"Piazza del Popolo 134",,"04100","41.4675967","12.9037","+39 0773690695","+39 0773666090","servizio.sistemabibliotecario@pec.comune.latina.it","http://www.comune.latina.it/cultura.php?action=a&id=3584"
"Latina","Latina","Biblioteca Don Vincenzo Onorati","Pubblica","Comune di Latina",,,"Via Don Vincenzo Onorati","Borgo Sabotino","04010","41.42951072","12.82141519","+39 0773/404060",,,"http://www.comune.latina.it/cultura.php?action=a&id=3584"
"Pontinia","Latina","Biblioteca comunale","Pubblica","Comune di Pontinia",,,"Viale Cavour 24",,"04014","41.4086607","13.0468968","+39 0773841504","+39 0773841505",,
"Gaeta","Latina","Biblioteca comunale Salvatore Mignano","Pubblica","Comune di Gaeta",,,"Via Annunziata 7/21",,"04024","41.2127994","13.580065","+39 0771460090","+39 0771464293","biblioteca@gaeta.it","http://www.sudpontino.org"
"Itri","Latina","Biblioteca comunale","Pubblica","Comune di Itri","OBR","Sistema bibliotecario Sud Pontino","Piazza Umberto I 13",,"04020","41.2909143","13.5312115","+39 0771728353","+39 0771721108","biblitri@libero.it","http://www.sudpontino.org"
"Norma","Latina","Biblioteca comunale","Pubblica","Comune di Norma","OBR",,"Discesa ex Barone 2",,"04010","41.5827106","12.9728461","+39 0773354529","+39 0773354529",,
"Gaeta","Latina","Biblioteca del Centro storico culturale Gaeta","Specializzata","Centro storico culturale Gaeta",,,"Via Annunziata",,"04024","41.2123925","13.5806491","+39 0771464293",,,
"Latina","Latina","Biblioteca comunale Aldo Manuzio. Succursale di Latina Scalo","Pubblica","Comune di Latina","OBR",,"Via Murillo 1","Latina Scalo","04013","41.5316274","12.9457664","+39 0773/630077",,,"http://www.comune.latina.it/cultura.php?action=a&id=3584"
"Formia","Latina","Biblioteca comunale tenente Filippo Testa. Punto di lettura di Castellone","Pubblica","Comune di Formia",,,"Via Olivetani c/o Parrocchia di S. Erasmo",,"04023","41.254072","13.597105",,,,
"Formia","Latina","Biblioteca comunale tenente Filippo Testa. Punto di lettura di Gianola","Pubblica","Comune di Formia",,,"Via Gianola c/o scuola elementare",,"04023","41.262537","13.665622",,,,
"Formia","Latina","Biblioteca comunale tenente Filippo Testa. Punto di lettura di Maranola","Pubblica","Comune di Formia",,,"Via A. Forte","Maranola","04020","41.2851151","13.6279843",,,,
"Sezze","Latina","Biblioteca comunale di Sezze Scalo","Pubblica","Comune di Sezze","OBR","Sistema bibliotecario dei Monti lepini","Via Bari","Sezze Scalo","04010","41.4988942","13.0389426","+39 0773877212","+39 0773874025","biblioteca.scalo@comune.sezze.lt.it","http://sibiblioteche.caspur.it/scheda_css.php?id=SAPC111&incl=info"
"Latina","Latina","Biblioteca Angelo Tomassini","Specializzata","Associazione biblioteca Angelo Tomassini",,,"Viale dello statuto 1",,"04100","41.4675857","12.9111489","+39 0773693235",,,
"Cori","Latina","Biblioteca Marchetti Caucci Mollara","Pubblica","Famiglia Marchetti Caucci Mollara",,,"Via A. Accrocca",,"04010","41.6423607","12.9106491","+39 0773273020",,,
"Terracina","Latina","Biblioteca L'ancora di Porto Badino","Pubblica","Parrocchia Madonna di Porto Salvo",,,"Via Badino Km. 5,6","Porto Badino","04019","41.3362669","13.1971067","+39 0773764362",,,
"Latina","Latina","Centro di documentazione audiovisivi","Pubblica","Provincia di Latina",,,"Via del Lido",,"04100","41.4315836","12.8811575","+39 0773401458",,,
"Latina","Latina","Biblioteca diocesana S. Carlo da Sezze","Specializzata","Diocesi di Latina-Terracina-Sezze-Priverno",,,"Via Sezze, 16",,"04100","41.454676","12.909962","+39 0773.694261","+39 0773.666602","pastorale@diocesi.latina.it",
"Latina","Latina","Biblioteca del Conservatorio statale di musica Ottorino Respighi","Specializzata","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Ezio 30",,"04100","41.4718849","12.9109824","+39 0773664173","+39 0773661678",,
"Latina","Latina","Biblioteca comunale Aldo Manuzio. Nuova Latina","Pubblica","Comune di Latina",,,"Largo Peri",,"04100","41.45288323","12.87538905","+39 0773 609835",,,
"San Felice Circeo","Latina","Biblioteca comunale Marcello Insogna","Pubblica","Comune di San Felice Circeo","OBR",,"Via G. Rossi",,"04017","41.2319381","13.0897739","+39 0773549334",,"biblioteca@comune.sanfelicecirceo.lt.it",
"Terracina","Latina","Biblioteca di Scienze infermieristiche","Pubblica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Firenze",,"04019","41.2960048","13.2372968",,,"poros2001@libero.it",
"Terracina","Latina","Biblioteca della Scuola media Monti Mameli","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via dei Volsci 12",,"04019","41.8991434","12.5175983",,,"cassata@libero.it",
"Latina","Latina","Biblioteca del DMI - Dizionario della Musica in Italia","Specializzata","Dizionario della Musica in Italia - DMI",,,"Via Benvenuto Cellini 5",,"04100","41.4635214","12.9082304","+39 07731715406",,"info@dmi.it",
"Amatrice","Rieti","Biblioteca comunale","Pubblica","Comune di Amatrice",,,"Via Cola",,"02012","42.6296713","13.2884911",,,,
"Antrodoco","Rieti","Biblioteca comunale","Pubblica","Comune di Antrodoco",,,"Corso Roma c/o Scuola forestale",,"02013","42.417265","13.07945",,,,
"Belmonte in Sabina","Rieti","Biblioteca comunale","Pubblica","Comune di Belmonte in Sabina",,,"Via Colle Catino",,"02020","42.3094592","12.893703",,,,
"Borbona","Rieti","Biblioteca comunale","Pubblica","Comune di Borbona","OBR",,"Via Nicola da Borbona",,"02010","42.5122551","13.1322266","+39 0746940607",,"biblioteca@comune.borbona.rieti.it",
"Borgo Velino","Rieti","Biblioteca comunale","Pubblica","Comune di Borgo Velino",,,"Piazza Umberto I  33",,"02010","42.4058967","13.0582493","+39 0746578896","+39 0746578525","comune.borgovelino@libero.it",
"Cantalupo in Sabina","Rieti","Biblioteca comunale","Pubblica","Comune di Cantalupo in Sabina","OBR","Sistema bibliotecario Bassa Sabina","Piazza G. Garibaldi 42",,"02040","42.3053482","12.6489323","+39 0765513009",,"biblio.cantalupo@fabaris.it",
"Casperia","Rieti","Biblioteca comunale","Pubblica","Comune di Casperia",,,"Piazza Vittorio Emanuele 5",,"02041","42.3381898","12.6705117","+39 076563422","+39 076563710","biblio.casperia@fabaris.it",
"Castel di Tora","Rieti","Biblioteca comunale","Pubblica","Comune di Castel di Tora",,,"Via Cenci 25",,"02020","42.215435","12.964364",,,,
"Castelnuovo di Farfa","Rieti","Biblioteca comunale Cherubini","Pubblica","Comune di Castelnuovo di Farfa",,,"Via Roma",,"02031","42.2313661","12.7429179",,,,
"Collalto Sabino","Rieti","Biblioteca comunale","Pubblica","Comune di Collalto Sabino",,,"P.zza Guglielmo Marconi 1",,"02022","42.1363944","13.04798",,,,
"Collevecchio","Rieti","Biblioteca comunale","Pubblica","Comune di Collevecchio",,,"Corso Umberto 15",,"02042","42.3346771","12.5532367",,,,
"Configni","Rieti","Biblioteca comunale","Pubblica","Comune di Configni",,,"Via Venosta 10",,"02040","42.4234783","12.6429304",,,,
"Contigliano","Rieti","Biblioteca comunale","Pubblica","Comune di Contigliano","OBR",,"Piazzale degli Eroi 5",,"02043","42.4110681","12.769165","+39 0746/706034","+39 0746706023","biblioteca@comune.contigliano.ri.it","http://www.comune.contigliano.ri.it/pagina430_la-biblioteca.html"
"Forano","Rieti","Biblioteca comunale","Pubblica","Comune di Forano","OBR","Sistema bibliotecario Bassa Sabina",,"Gavignano","02044","42.2792896","12.6043996","+39 0765515003","+39 0765570684","forano@bibliotechesabine.it",
"Greccio","Rieti","Biblioteca del Santuario francescano del presepio","Specializzata","Frati minori OFM. Convento S. Francesco di Greccio",,,"Piazza S. Francesco 2",,"02040","null","null","+39 0746750127","+39 0746750127",,
"Labro","Rieti","Biblioteca comunale","Pubblica","Comune di Labro",,,"Via G. Garibaldi 10",,"02010","42.5278275","12.8314807",,,,
"Leonessa","Rieti","Biblioteca comunale. Sezione Convento dei padri cappuccini","Specializzata","Comune di Leonessa",,,"Viale F. Crispi",,"02016","42.5674288","12.9623649","+39 0746922154","+39 0746922154",,
"Leonessa","Rieti","Biblioteca comunale","Pubblica","Comune di Leonessa","OBR",,"Corso G. Garibaldi 43",,"02016","42.5633777","12.9643444",,,,
"Magliano Sabina","Rieti","Biblioteca comunale","Pubblica","Comune di Magliano Sabina","OBR","Sistema bibliotecario Bassa Sabina","Largo F. Crispi 9",,"02046","42.3620284","12.4814666","+39 0744910108","+39 0744919903","biblioteca.maglianos@libero.it",
"Mompeo","Rieti","Biblioteca comunale","Pubblica","Comune di Mompeo",,,"Via Roma 31",,"02040","42.2485646","12.7522164",,,,
"Monteleone Sabino","Rieti","Biblioteca comunale","Pubblica","Comune di Monteleone Sabino",,,"Via Lucio Mummio 11",,"02033","42.2324474","12.8590527",,,,
"Montopoli di Sabina","Rieti","Biblioteca Comunale Angelo Vassallo","Pubblica","Comune di Montopoli di Sabina","OBR","Sistema bibliotecario Bassa Sabina","Via A. Gramsci",,"02034","42.2438641","12.6948138",,"+39 0765276023","montopolidisabina@bibliotechesabine.it",
"Pescorocchiano","Rieti","Biblioteca comunale","Pubblica","Comune di Pescorocchiano",,,"Palazzo comunale",,"02040","42.1655374","13.0481499",,,,
"Petrella Salto","Rieti","Biblioteca comunale","Pubblica","Comune di Petrella Salto",,,"Vicolo Antonini",,"02025","null","null",,,,
"Poggio Bustone","Rieti","Biblioteca comunale","Pubblica","Comune di Poggio Bustone",,,"Piazzale S. Felice",,"02018","42.5019349","12.8886959",,,,
"Poggio Catino","Rieti","Biblioteca comunale","Pubblica","Comune di Poggio Catino","OBR",,"Piazza Capizzuti 1",,"02040","42.2955999","12.6920096",,,,
"Poggio Mirteto","Rieti","Biblioteca comunale","Pubblica","Comune di Poggio Mirteto","OBR","Sistema bibliotecario Bassa Sabina","Piazza M. Dottori",,"02047","42.264519","12.6832934","+39 0765441683","+39 0765441683","bibliopm@freemail.it",
"Poggio Moiano","Rieti","Biblioteca comunale","Pubblica","Comune di Poggio Moiano",,,"Via Roma",,"02037","42.202843","12.8762483",,,,
"Poggio Nativo","Rieti","Biblioteca comunale","Pubblica","Comune di Poggio Nativo",,,"Via Umberto I  2",,"02030","42.257467","12.7456273",,,,
"Rieti","Rieti","Biblioteca diocesana","Specializzata","Diocesi di Rieti",,,"Via Cintia 83",,"02100","42.4024792","12.8591924","+39 0746.204255","+39 0746.200228","diocesi-rieti@libero.it",
"Rieti","Rieti","Biblioteca dell'Archivio di Stato di Rieti","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Rieti",,,"Via M. di Gaio 7",,"02100","42.4052432","12.8587816","+39 0746204297","+39 0746481991",,
"Rieti","Rieti","Biblioteca comunale Paroniana","Importante non specializzata","Comune di Rieti","OBR",,"Via S. Pietro Martire 28",,"02100","42.4018548","12.8586153","+39 0746287331","+39 0746297565","biblioteca.rieti@interbusiness.it","http://www.comune.rieti.it/portalerieti/Cultura_eventi/Biblioteca/intro.asp"
